Rank,Name,Age,Position,Country,club,Value
354,Matheus Cunha,21,Second Striker,Brazil,Hertha BSC,£19.80m 
355,Pedro Neto,20,Left Winger,Portugal,Wolverhampton Wanderers,£19.80m 
356,Max Aarons,20,Right-Back,England,Norwich City,£19.80m 
357,Luiz Felipe,23,Centre-Back,Brazil,SS Lazio,£19.80m 
358,Ismaïla Sarr,22,Right Winger,Senegal,Watford FC,£19.80m 
359,Riccardo Orsolini,23,Right Winger,Italy,Bologna FC 1909,£19.80m 
360,Kalvin Phillips,24,Defensive Midfield,England,Leeds United,£19.80m 
361,Alexander Isak,21,Centre-Forward,Sweden,Real Sociedad,£19.80m 
362,Weston McKennie,22,Central Midfield,United States,Juventus FC,£19.80m 
363,Milot Rashica,24,Left Winger,Kosovo,SV Werder Bremen,£19.80m 
364,Saïd Benrahma,25,Left Winger,Algeria,West Ham United,£19.80m 
365,Daniel Podence,25,Left Winger,Portugal,Wolverhampton Wanderers,£19.80m 
366,Gianluca Mancini,24,Centre-Back,Italy,AS Roma,£19.80m 
367,Neal Maupay,24,Centre-Forward,France,Brighton & Hove Albion,£19.80m 
368,Luke Shaw,25,Left-Back,England,Manchester United,£19.80m 
369,Eric Dier,26,Centre-Back,England,Tottenham Hotspur,£19.80m 
370,Giovanni Di Lorenzo,27,Right-Back,Italy,SSC Napoli,£19.80m 
371,Matteo Politano,27,Right Winger,Italy,SSC Napoli,£19.80m 
372,Dennis Praet,26,Central Midfield,Belgium,Leicester City,£19.80m 
373,Luis Muriel,29,Centre-Forward,Colombia,Atalanta BC,£19.80m 
374,Mário Fernandes,30,Right-Back,Russia,CSKA Moscow,£19.80m 
375,Aleksandar Mitrovic,26,Centre-Forward,Serbia,Fulham FC,£19.80m 
376,Aaron Ramsey,29,Central Midfield,Wales,Juventus FC,£19.80m 
377,Krzysztof Piatek,25,Centre-Forward,Poland,Hertha BSC,£19.35m 
378,Ross Barkley,26,Central Midfield,England,Aston Villa,£19.35m 
379,Ruslan Malinovskyi,27,Attacking Midfield,Ukraine,Atalanta BC,£18.90m 
380,Rayan Aït Nouri,19,Left-Back,France,Wolverhampton Wanderers,£18.00m 
381,Kang-in Lee,19,Attacking Midfield,"Korea, South",Valencia CF,£18.00m 
382,Matheus Henrique,22,Central Midfield,Brazil,Grêmio Foot-Ball Porto Alegrense,£18.00m 
383,Carlos Vinícius,25,Centre-Forward,Brazil,Tottenham Hotspur,£18.00m 
384,Krépin Diatta,21,Right Winger,Senegal,Club Brugge KV,£18.00m 
385,Jérémy Doku,18,Right Winger,Belgium,Stade Rennais FC,£18.00m 
386,Lisandro Martínez,22,Centre-Back,Argentina,Ajax Amsterdam,£18.00m 
387,Eric García,19,Centre-Back,Spain,Manchester City,£18.00m 
388,Lucas Paquetá,23,Attacking Midfield,Brazil,Olympique Lyon,£18.00m 
389,Edouard Mendy,28,Goalkeeper,Senegal,Chelsea FC,£18.00m 
390,Youcef Atal,24,Right-Back,Algeria,OGC Nice,£18.00m 
391,Wesley,23,Centre-Forward,Brazil,Aston Villa,£18.00m 
392,Amine Harit,23,Attacking Midfield,Morocco,FC Schalke 04,£18.00m 
393,Patson Daka,22,Centre-Forward,Zambia,Red Bull Salzburg,£18.00m 
394,Sergiño Dest,20,Right-Back,United States,FC Barcelona,£18.00m 
395,Amadou Diawara,23,Defensive Midfield,Guinea,AS Roma,£18.00m 
396,André Zambo Anguissa,24,Defensive Midfield,Cameroon,Fulham FC,£18.00m 
397,Lucas Tousart,23,Defensive Midfield,France,Hertha BSC,£18.00m 
398,Eddie Nketiah,21,Centre-Forward,England,Arsenal FC,£18.00m 
399,Unai Núñez,23,Centre-Back,Spain,Athletic Bilbao,£18.00m 
400,Joelinton,24,Centre-Forward,Brazil,Newcastle United,£18.00m 
401,Todd Cantwell,22,Left Midfield,England,Norwich City,£18.00m 
402,Justin Kluivert,21,Left Winger,Netherlands,RB Leipzig,£18.00m 
403,Fikayo Tomori,22,Centre-Back,England,Chelsea FC,£18.00m 
404,Jonathan Bamba,24,Left Winger,France,LOSC Lille,£18.00m 
405,Mauro Arambarri,25,Central Midfield,Uruguay,Getafe CF,£18.00m 
406,Yerry Mina,26,Centre-Back,Colombia,Everton FC,£18.00m 
407,Sofyan Amrabat,24,Central Midfield,Morocco,ACF Fiorentina,£18.00m 
408,Marc Cucurella,22,Left Midfield,Spain,Getafe CF,£18.00m 
409,Manuel Akanji,25,Centre-Back,Switzerland,Borussia Dortmund,£18.00m 
410,Tomas Soucek,25,Defensive Midfield,Czech Republic,West Ham United,£18.00m 
411,Moussa Marega,29,Centre-Forward,Mali,FC Porto,£18.00m 
412,Mario Hermoso,25,Centre-Back,Spain,Atlético Madrid,£18.00m 
413,Angeliño,23,Left-Back,Spain,RB Leipzig,£18.00m 
414,Nemanja Maksimovic,25,Central Midfield,Serbia,Getafe CF,£18.00m 
415,Aleksandr Golovin,24,Attacking Midfield,Russia,AS Monaco,£18.00m 
416,Joan Jordán,26,Central Midfield,Spain,Sevilla FC,£18.00m 
417,Suat Serdar,23,Central Midfield,Germany,FC Schalke 04,£18.00m 
418,Dean Henderson,23,Goalkeeper,England,Manchester United,£18.00m 
419,Renato Sanches,23,Central Midfield,Portugal,LOSC Lille,£18.00m 
420,Gelson Martins,25,Right Winger,Portugal,AS Monaco,£18.00m 
421,Zeki Celik,23,Right-Back,Turkey,LOSC Lille,£18.00m 
422,Ayoze Pérez,27,Right Winger,Spain,Leicester City,£18.00m 
423,Diego Llorente,27,Centre-Back,Spain,Leeds United,£18.00m 
424,Enis Bardhi,25,Central Midfield,North Macedonia,Levante UD,£18.00m 
425,Gabriel Barbosa,24,Centre-Forward,Brazil,Clube de Regatas do Flamengo,£18.00m 
426,Juan Musso,26,Goalkeeper,Argentina,Udinese Calcio,£18.00m 
427,Alexander Sörloth,24,Centre-Forward,Norway,RB Leipzig,£18.00m 
428,Stefano Sensi,25,Central Midfield,Italy,Inter Milan,£18.00m 
429,Oleksandr Zinchenko,23,Left-Back,Ukraine,Manchester City,£18.00m 
430,Florian Grillitsch,25,Defensive Midfield,Austria,TSG 1899 Hoffenheim,£18.00m 
431,Mike Maignan,25,Goalkeeper,France,LOSC Lille,£18.00m 
432,Jean-Philippe Gbamin,25,Defensive Midfield,Cote d'Ivoire,Everton FC,£18.00m 
433,James Ward-Prowse,26,Central Midfield,England,Southampton FC,£18.00m 
434,Sardar Azmoun,25,Centre-Forward,Iran,Zenit St. Petersburg,£18.00m 
435,Matt Doherty,28,Right-Back,Ireland,Tottenham Hotspur,£18.00m 
436,Leandro Paredes,26,Central Midfield,Argentina,Paris Saint-Germain,£18.00m 
437,Danny Ings,28,Centre-Forward,England,Southampton FC,£18.00m 
438,Samuel Umtiti,26,Centre-Back,France,FC Barcelona,£18.00m 
439,Suso,26,Right Winger,Spain,Sevilla FC,£18.00m 
440,Stefan Savic,29,Centre-Back,Montenegro,Atlético Madrid,£18.00m 
441,Chris Smalling,30,Centre-Back,England,AS Roma,£18.00m 
442,William Carvalho,28,Defensive Midfield,Portugal,Real Betis Balompié,£18.00m 
443,Sergi Roberto,28,Right-Back,Spain,FC Barcelona,£18.00m 
444,Douglas Costa,30,Right Winger,Brazil,Bayern Munich,£18.00m 
445,Marcel Halstenberg,29,Left-Back,Germany,RB Leipzig,£18.00m 
446,Sergio Canales,29,Attacking Midfield,Spain,Real Betis Balompié,£18.00m 
447,Pizzi,31,Attacking Midfield,Portugal,SL Benfica,£18.00m 
448,César Azpilicueta,31,Right-Back,Spain,Chelsea FC,£18.00m 
449,Henrikh Mkhitaryan,31,Attacking Midfield,Armenia,AS Roma,£18.00m 
450,Toby Alderweireld,31,Centre-Back,Belgium,Tottenham Hotspur,£18.00m 
451,Mats Hummels,31,Centre-Back,Germany,Borussia Dortmund,£18.00m 
452,Dusan Tadic,31,Left Winger,Serbia,Ajax Amsterdam,£18.00m 
453,Alessio Cragno,26,Goalkeeper,Italy,Cagliari Calcio,£18.00m 
454,Daley Blind,30,Centre-Back,Netherlands,Ajax Amsterdam,£18.00m 
455,Dodi Lukebakio,23,Right Winger,Belgium,Hertha BSC,£17.10m 
456,Viktor Tsygankov,22,Right Winger,Ukraine,Dynamo Kyiv,£17.10m 
457,Stanislav Lobotka,25,Defensive Midfield,Slovakia,SSC Napoli,£17.10m 
458,Oscar,29,Attacking Midfield,Brazil,Shanghai SIPG,£17.10m 
459,Anthony Lopes,30,Goalkeeper,Portugal,Olympique Lyon,£17.10m 
460,Willian,32,Right Winger,Brazil,Arsenal FC,£17.10m 
461,Paulinho,32,Central Midfield,Brazil,Guangzhou Evergrande Taobao,£16.65m 
462,Antony,20,Right Winger,Brazil,Ajax Amsterdam,£16.20m 
463,Thiago Almada,19,Attacking Midfield,Argentina,Club Atlético Vélez Sarsfield,£16.20m 
464,Darwin Núñez,21,Centre-Forward,Uruguay,SL Benfica,£16.20m 
465,Tariq Lamptey,20,Right-Back,England,Brighton & Hove Albion,£16.20m 
466,Mohamed Ihattaren,18,Attacking Midfield,Netherlands,PSV Eindhoven,£16.20m 
467,Musa Barrow,21,Centre-Forward,The Gambia,Bologna FC 1909,£16.20m 
468,Eberechi Eze,22,Attacking Midfield,England,Crystal Palace,£16.20m 
469,Myron Boadu,19,Centre-Forward,Netherlands,AZ Alkmaar,£16.20m 
470,Raphinha,23,Right Winger,Brazil,Leeds United,£16.20m 
471,Calvin Stengs,21,Right Winger,Netherlands,AZ Alkmaar,£16.20m 
472,Exequiel Palacios,22,Central Midfield,Argentina,Bayer 04 Leverkusen,£16.20m 
473,Eljif Elmas,21,Central Midfield,North Macedonia,SSC Napoli,£16.20m 
474,Pablo Fornals,24,Left Midfield,Spain,West Ham United,£16.20m 
475,Florentino,21,Defensive Midfield,Portugal,AS Monaco,£16.20m 
476,Mason Holgate,24,Centre-Back,England,Everton FC,£16.20m 
477,Sander Berge,22,Defensive Midfield,Norway,Sheffield United,£16.20m 
478,Valentin Rongier,25,Central Midfield,France,Olympique Marseille,£16.20m 
479,Takehiro Tomiyasu,22,Centre-Back,Japan,Bologna FC 1909,£16.20m 
480,Manuel Lazzari,26,Right Midfield,Italy,SS Lazio,£16.20m 
481,Diego Rossi,22,Left Winger,Uruguay,Los Angeles FC,£16.20m 
482,Ainsley Maitland-Niles,23,Right Midfield,England,Arsenal FC,£16.20m 
483,Carles Aleñá,22,Central Midfield,Spain,FC Barcelona,£16.20m 
484,David Brooks,23,Right Winger,Wales,AFC Bournemouth,£16.20m 
485,Hans Hateboer,26,Right-Back,Netherlands,Atalanta BC,£16.20m 
486,Aleksey Miranchuk,25,Attacking Midfield,Russia,Atalanta BC,£16.20m 
487,Otávio,25,Attacking Midfield,Brazil,FC Porto,£16.20m 
488,Thomas Lemar,24,Left Winger,France,Atlético Madrid,£16.20m 
489,Bryan Cristante,25,Central Midfield,Italy,AS Roma,£16.20m 
490,Kepa,26,Goalkeeper,Spain,Chelsea FC,£16.20m 
491,Emerson,26,Left-Back,Italy,Chelsea FC,£16.20m 
492,Nathan Redmond,26,Left Winger,England,Southampton FC,£16.20m 
493,Nikola Maksimovic,28,Centre-Back,Serbia,SSC Napoli,£16.20m 
494,Leonardo Spinazzola,27,Left-Back,Italy,AS Roma,£16.20m 
495,Marcos Alonso,29,Left-Back,Spain,Chelsea FC,£16.20m 
496,Emil Forsberg,29,Left Winger,Sweden,RB Leipzig,£16.20m 
497,Gylfi Sigurdsson,31,Attacking Midfield,Iceland,Everton FC,£16.20m 
498,Martin Hinteregger,28,Centre-Back,Austria,Eintracht Frankfurt,£16.20m 
499,Dries Mertens,33,Centre-Forward,Belgium,SSC Napoli,£16.20m 
500,Moussa Sissoko,31,Central Midfield,France,Tottenham Hotspur,£16.20m 
